loanNoteId,sellerUserId,buyerUserId,salePrice,sellerFees,saleYield,counterParties
32701256,8196710,9078061,0,0,0,
32537747,8196710,9078061,0,0,0,
32523587,8196710,9078061,0,0,0,
32338002,8196710,9078061,0,0,0,
32523533,8196710,9078061,0,0,0,
32714485,8196710,9078061,0,0,0,
32660374,8196710,9078061,0,0,0,
32668402,8196710,9078061,0,0,0,
32374857,8196710,9078061,0,0,0,
32566274,8196710,9078061,0,0,0,
32652512,8196710,9078061,0,0,0,
32753785,8196710,9078061,0,0,0,
32675528,8196710,9078061,0,0,0,
32382003,8196710,9078061,0,0,0,
32373504,8196710,9078061,0,0,0,
32668330,8196710,9078061,0,0,0,
32692615,8196710,9078061,0,0,0,
32338044,8196710,9078061,0,0,0,
32693764,8196710,9078061,0,0,0,
32654234,8196710,9078061,0,0,0,
32391687,8196710,9078061,0,0,0,
32633234,8196710,9078061,0,0,0,
32533466,8196710,9078061,0,0,0,
32430966,8196710,9078061,0,0,0,
32684239,8196710,9078061,0,0,0,
32701169,8196710,9078061,0,0,0,
32722963,8196710,9078061,0,0,0,
32706064,8196710,9078061,0,0,0,
32693698,8196710,9078061,0,0,0,
32565989,8196710,9078061,0,0,0,
32337963,8196710,9078061,0,0,0,
32466951,8196710,9078061,0,0,0,
32779267,8196710,9078061,0,0,0,
32550332,8196710,9078061,0,0,0,
32793628,8196710,9078061,0,0,0,
32452653,8196710,9078061,0,0,0,
32430978,8196710,9078061,0,0,0,
32719423,8196710,9078061,0,0,0,
32537405,8196710,9078061,0,0,0,
32744566,8196710,9078061,0,0,0,
32537753,8196710,9078061,0,0,0,
32779864,8196710,9078061,0,0,0,
32601257,8196710,9078061,0,0,0,
32388804,8196710,9078061,0,0,0,
32533556,8196710,9078061,0,0,0,
32516453,8196710,9078061,0,0,0,
32718391,8196710,9078061,0,0,0,
32629676,8196710,9078061,0,0,0,
32467020,8196710,9078061,0,0,0,
32388819,8196710,9078061,0,0,0,
32374830,8196710,9078061,0,0,0,
32585126,8196710,9078061,0,0,0,
32337951,8196710,9078061,0,0,0,
32670988,8196710,9078061,0,0,0,
32668399,8196710,9078061,0,0,0,
32364930,8196710,9078061,0,0,0,
32641748,8196710,9078061,0,0,0,
32472726,8196710,9078061,0,0,0,
32675495,8196710,9078061,0,0,0,
32599712,8196710,9078061,0,0,0,
32845405,8196710,9078061,0,0,0,
32447208,8196710,9078061,0,0,0,
32539703,8196710,9078061,0,0,0,
32668327,8196710,9078061,0,0,0,
32710310,8196710,9078061,0,0,0,
32354469,8196710,9078061,0,0,0,
32806411,8196710,9078061,0,0,0,
32753488,8196710,9078061,0,0,0,
32337948,8196710,9078061,0,0,0,
32373531,8196710,9078061,0,0,0,
32693638,8196710,9078061,0,0,0,
32719387,8196710,9078061,0,0,0,
32354322,8196710,9078061,0,0,0,
32562263,8196710,9078061,0,0,0,
32507145,8196710,9078061,0,0,0,
32368248,8196710,9078061,0,0,0,
32793613,8196710,9078061,0,0,0,
32829532,8196710,9078061,0,0,0,
32572659,8196710,9078061,0,0,0,
32656775,8196710,9078061,0,0,0,
32704540,8196710,9078061,0,0,0,
32868892,8196710,9078061,0,0,0,
32789326,8196710,9078061,0,0,0,
32533436,8196710,9078061,0,0,0,
32753455,8196710,9078061,0,0,0,
32758906,8196710,9078061,0,0,0,
32358129,8196710,9078061,0,0,0,
32794543,8196710,9078061,0,0,0,
32490771,8196710,9078061,0,0,0,
32758945,8196710,9078061,0,0,0,
32448042,8196710,9078061,0,0,0,
32374815,8196710,9078061,0,0,0,
32470773,8196710,9078061,0,0,0,
32706073,8196710,9078061,0,0,0,
32764777,8196710,9078061,0,0,0,
32550239,8196710,9078061,0,0,0,
32490750,8196710,9078061,0,0,0,
32652578,8196710,9078061,0,0,0,
32730520,8196710,9078061,0,0,0,
32781730,8196710,9078061,0,0,0,
32490714,8196710,9078061,0,0,0,
32706148,8196710,9078061,0,0,0,
32758894,8196710,9078061,0,0,0,
32391930,8196710,9078061,0,0,0,
32543294,8196710,9078061,0,0,0,
32537402,8196710,9078061,0,0,0,
32806243,8196710,9078061,0,0,0,
32719084,8196710,9078061,0,0,0,
32569604,8196710,9078061,0,0,0,
32433975,8196710,9078061,0,0,0,
32467023,8196710,9078061,0,0,0,
32675156,8196710,9078061,0,0,0,
32638364,8196710,9078061,0,0,0,
32599586,8196710,9078061,0,0,0,
32459670,8196710,9078061,0,0,0,
32732110,8196710,9078061,0,0,0,
32555963,8196710,9078061,0,0,0,
32753458,8196710,9078061,0,0,0,
32660368,8196710,9078061,0,0,0,
32422656,8196710,9078061,0,0,0,
32719414,8196710,9078061,0,0,0,
32566307,8196710,9078061,0,0,0,
32787898,8196710,9078061,0,0,0,
32368188,8196710,9078061,0,0,0,
32493768,8196710,9078061,0,0,0,
32464806,8196710,9078061,0,0,0,
32621930,8196710,9078061,0,0,0,
32337990,8196710,9078061,0,0,0,
32485593,8196710,9078061,0,0,0,
32566562,8196710,9078061,0,0,0,
32565968,8196710,9078061,0,0,0,
32391873,8196710,9078061,0,0,0,
32391747,8196710,9078061,0,0,0,
32691553,8196710,9078061,0,0,0,
32817439,8196710,9078061,0,0,0,
32701387,8196710,9078061,0,0,0,
32516570,8196710,9078061,0,0,0,
32358144,8196710,9078061,0,0,0,
32364927,8196710,9078061,0,0,0,
32719093,8196710,9078061,0,0,0,
32364924,8196710,9078061,0,0,0,
32490708,8196710,9078061,0,0,0,
32373519,8196710,9078061,0,0,0,
32580224,8196710,9078061,0,0,0,
32516465,8196710,9078061,0,0,0,
32434338,8196710,9078061,0,0,0,
32779762,8196710,9078061,0,0,0,
32704519,8196710,9078061,0,0,0,
32636936,8196710,9078061,0,0,0,
32793697,8196710,9078061,0,0,0,
32789341,8196710,9078061,0,0,0,
32533460,8196710,9078061,0,0,0,
32654189,8196710,9078061,0,0,0,
32589077,8196710,9078061,0,0,0,
32706007,8196710,9078061,0,0,0,
32841451,8196710,9078061,0,0,0,
32621828,8196710,9078061,0,0,0,
32845366,8196710,9078061,0,0,0,
32550323,8196710,9078061,0,0,0,
32719375,8196710,9078061,0,0,0,
