,OrigMID,ProsperRating,Term,CycleCounter,LoanAmount,AvgBorrowerRate,PrevUPB,UPB,ScheduledMonthlyPaymentAmount,ScheduledPeriodicPrin,ScheduledInterest,PrincipalPaid,FullPaydowns,VoluntaryExcessPrin,ExpectedPrinPaid,InterestPaid,SVC_Fees,TotalFees,CO_Balance,RecoveryPrinPaid,NetCO_FromSettlement,GrossCashFromDebtSale,NetCashToInvestorsFromDebtSale,DPD_1,DPD_16,DPD_31,DPD_61,DPD_91,CumulativeGrossLosses,CumulativeGrossLossesPct,CumulativeNetLosses,CumulativeNetLossesPct,FICO,Income
19618,201806,C,60,12,30773045,0.173163555,21511823.81,20660282.77,617118.33,307599.42374909,309518.90625091,634294.11,361506.688,15856.9043,26164.7077,274186.43,-17049.14,-18595.57,209290.93,40,12451.09,30585.93,29056.63,0.041819421,0.036435973,0.026343495,0.012163018,0.004475694,1669997.66,0.054268197,1538561.12,0.049997039,705,101837
19619,201806,C,60,13,30773045,0.173163555,20660282.77,19838953.8,600708.65,303195.741382476,297199.486513524,683598.23,299775.1726,101202.4141,242116.5433,302320.73,-18734.74,-20134.99,137730.74,622,0,18761.81,17823.7,0.046963588,0.038518773,0.032989386,0.020049995,0.006044554,1795277.31,0.058339281,1645395.07,0.053468712,705,101837
19620,201806,C,60,14,30773045,0.173224894,19838953.8,19099216.77,587269.95,300879.459531465,285582.277763942,553727.71,246349.7029,48087.4409,19404.4962,256827.43,-15965.84,-18042.52,186009.32,300,0,15777.44,14988.57,0.048420464,0.04110453,0.031299129,0.021222953,0.013438728,1981286.63,0.064383834,1816115.82,0.059016448,705,101837
19621,201806,C,60,15,30773045,0.173224894,19099216.77,18100050.66,573912.51,298465.03674187,274743.55244691,585615.54,276370.5241,60966.0989,26089.117,240717.26,-14984.11,-16723.62,413550.57,578,0,25887.2023,24594.01,0.038892785,0.031980821,0.026387847,0.015749087,0.007468442,2394837.2,0.077822562,2204494.38,0.071637187,705,101837
19622,201806,C,60,16,30773045,0.173224894,18100050.66,17296762.01,553086.79,292077.139606719,260240.914464042,559751.6,198568.4423,63868.7067,36253.811,268664.07,-16661.19,-18193.62,243537.05,627,0,41944.99,39847.74,0.034529782,0.029551034,0.024669273,0.0169193,0.007575692,2638374.25,0.085736535,2407556.69,0.078235894,705,101837
19623,201806,D,36,0,17492814,0.242358042,17492814,17303071.26,0,0,353293.679594259,189742.74,147300,42442.74,0,1919.2188,-86.4049,-86.4049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,85894
19624,201806,D,36,1,17492814,0.242358042,17303071.26,16693901.5,682763.74,333328.902369601,349434.837630399,609047.6,250128.974,52043.3631,300951.9629,319897.8336,-14132.9981,-14189.8281,0,0,0,0,0,0.007397323,0.003635779,0,0,0,0,0,0,0,681,85894
19625,201806,D,36,2,17492814,0.242358042,16693901.5,16177677.01,672427.17,334908.686960895,337173.66949942,516104.3,142766.8052,57727.0416,15911.4132,342911.4,-15094.88,-15421.41,0,0,0,0,0,0.019217136,0.014084007,0.005150686,0,0,0,0,0,0,681,85894
19626,201806,D,36,3,17492814,0.242358042,16177677.01,15577060.29,665670.68,338727.966671638,326617.856204718,600531.65,265948.4004,49968.8139,19349.4957,292292.56,-12917.24,-13329.74,0,0,0,0,0,0.039616919,0.032528263,0.015582021,0.005150686,0,0,0,0,0,681,85894
19627,201806,D,36,4,17492814,0.242358042,15577060.29,15062074.23,653246.67,338034.559432483,314420.618661112,514908.22,131003.8577,49489.2981,17683.5942,318834.33,-14058,-14682.67,0,0,0,0,0,0.062636596,0.051508672,0.036549091,0.0154699,0.005150686,0,0,0,0,681,85894
19628,201806,D,36,5,17492814,0.242358042,15062074.23,14461434.55,646370.09,340768.979504647,304216.555599264,510500.12,172210.3985,52302.4477,17285.3738,272037.35,-11993.56,-12970.28,90100,0,0,0,0,0.075806261,0.062773079,0.049706563,0.031398405,0.010319213,90100,0.005150686,90100,0.005150686,681,85894
19629,201806,D,36,6,17492814,0.242358042,14461434.55,13833079.19,633107.09,339965.452677782,292080.50917982,447668.28,143534.0294,14222.6317,18673.7589,250142.96,-11048.63,-12030.8,180512.08,0,0,2469.65,2346.17,0.082622847,0.073958234,0.053822046,0.038899214,0.019659855,270612.08,0.0154699,268265.91,0.015335778,681,85894
19630,201806,D,36,7,17492814,0.242322988,13833079.19,12898505.84,616284.79,337067.324630328,279149.672227295,637652.15,263909.1083,46051.7339,20678.3578,283683.26,-12501.59,-14398.02,296721.2,0,0,13801.99,13111.89,0.082649909,0.071572229,0.056453663,0.036163044,0.021631248,567333.28,0.032432362,551875.22,0.031548682,681,85894
19631,201806,D,36,8,17492814,0.242322988,12898505.84,12054636.76,591721.16,330118.871120265,260191.053973842,509840.06,232666.8534,24759.0277,19385.7889,209543.32,-9264.21,-10479.99,333829.02,0,0,31389.4969,29819.93,0.080822898,0.070715655,0.057171323,0.035415307,0.012726516,901162.3,0.051516143,855884.31,0.048927766,681,85894
19632,201806,D,36,9,17492814,0.242322988,12054636.76,11291024.26,565317.71,321214.820319846,243058.287938904,527609.34,184707.3285,53222.8873,226145.2742,220800.75,-9724.28,-11912.8,235803.16,1385,0,29576.9973,28097.53,0.076930846,0.067296931,0.056402021,0.041032912,0.018729171,1136965.46,0.064996144,1062204.94,0.060722359,681,85894
19633,201806,D,36,10,17492814,0.242322988,11291024.26,10340972.94,544083.89,316276.029512357,227807.860487643,614690.71,286645.9348,49385.1838,30690.7714,211746.48,-9347.59,-11217.78,334960.61,735,0,28737.5166,27301.91,0.0735699,0.061475314,0.049212884,0.033898082,0.018599574,1471926.07,0.084144613,1369128.64,0.078268061,681,85894
19634,201806,D,36,11,17492814,0.242322988,10340972.94,9575439.57,515163.75,305767.25330488,208657.444483653,446788.97,171190.5692,10903.597,211967.5838,182165.14,-8042.9,-9954.07,317344.4,835,2072.15,39841.6805,37850.04,0.064181504,0.053834997,0.044580441,0.026971012,0.011121605,1789270.47,0.102286028,1647788,0.094197995,681,85894
19635,201806,D,36,12,17492814,0.242322988,9575439.57,9003326.2,490716.02,297353.718667534,193362.301332466,381109.39,116113.5812,31482.8067,19565.7121,159639.01,-7064.89,-9385.76,190803.98,635,0,36421.2679,34600.49,0.062437789,0.052327598,0.044403312,0.029257417,0.011485322,1978002.3,0.113075135,1801284.34,0.102972817,681,85894
19636,201806,D,36,13,17492814,0.242322988,9003326.2,8346122.35,475219.15,293076.806244828,181890.517603172,446959,135224.1475,47618.3807,195867.4818,178011.9,-7855.63,-10160.94,210044.85,735,0,26210.43,24899.91,0.062244302,0.050143997,0.040076451,0.02584416,0.013672541,2188047.15,0.125082628,1985694.28,0.113514857,681,85894
19637,201806,D,36,14,17492814,0.242322988,8346122.35,7702583.91,456207.22,287797.380090977,168409.839909023,421083.84,188425.99,7886.3179,21681.2721,137789.62,-6094.02,-7638.71,222254.6,935,0,25465.58,24192.29,0.059576772,0.051397622,0.039759916,0.025939089,0.010464721,2410301.75,0.137788108,2182821.59,0.124783902,681,85894
